controversial_flag,dec,disc_facility,disc_year,discovery_method,dist_category,dist_from_earth_pc,equilibrium_temp_k,habitable_zone_flag,host_star,is_recent_discovery,multi_planet_system,n_planets,n_stars,orbital_eccentricity,orbital_period_cat,orbital_period_days,planet_mass_earth,planet_name,planet_radius_earth,planet_type,ra,semi_major_axis_au,star_age_gyr,star_mass_sun,star_metallicity,star_radius_sun,star_surface_gravity,star_temp_k,star_type,star_vmag
0,47.6939654,kepler,2016.0,transit,far(500-2kpc),820.905,1419.0,False,kepler-1167,False,False,1,1,0.0,short(1-10d),1.003933739,3.57,kepler-1167 b,1.71,super-earth,298.3026595,0.0175,4.27,0.79,-0.05,0.75,4.6,4971.0,k-type,16.047
0,38.9224548,kepler,2021.0,transit,far(500-2kpc),1061.77,858.0,False,kepler-1740,True,False,1,1,0.0,short(1-10d),8.172400475,11.0,kepler-1740 b,3.32321414,mini-neptune,293.873663,0.0779,,0.943,-0.06,0.905,4.499,5705.0,g-type(sun-like),15.454
0,39.6036225,kepler,2016.0,transit,mid(100-500pc),493.175,1108.0,False,kepler-1581,False,False,1,1,0.0,short(1-10d),6.28385491,0.437,kepler-1581 b,0.8,sub-earth,287.3713199,0.06865,4.17,1.12,0.07,1.23,4.31,6022.0,f-type,12.442
0,43.4931119,kepler,2016.0,transit,far(500-2kpc),1318.05,1655.0,False,kepler-644,False,False,1,1,0.0,short(1-10d),3.173917103,10.1,kepler-644 b,3.15,mini-neptune,295.4757022,0.04641,1.62,1.49,0.08,1.81,4.09,6747.0,f-type,14.031
0,51.2227435,kepler,2021.0,transit,far(500-2kpc),962.888,419.0,False,kepler-1752,True,False,1,1,0.0,medium(10-100d),56.35850143,18.7,kepler-1752 b,4.54060463,neptune-like,290.8541401,0.2698,7.2,0.824,-0.2,0.821,4.525,5446.0,g-type(sun-like),16.0249
0,42.1804735,kepler,2014.0,transit,far(500-2kpc),780.361,1088.0,False,kepler-280,False,True,2,1,0.0,short(1-10d),4.807091,4.7,kepler-280 c,2.01,mini-neptune,291.3905325,0.056,5.62,0.962,0.1213,0.886,4.537,5744.0,g-type(sun-like),14.35
0,44.5557587,kepler,2016.0,transit,far(500-2kpc),825.176,665.0,False,kepler-1208,False,False,1,1,0.0,medium(10-100d),11.08507637,5.99,kepler-1208 b,2.32,mini-neptune,291.8812445,0.0901,4.47,0.8,-0.03,0.76,4.59,5001.0,k-type,16.256
0,37.5677941,kepler,2014.0,transit,far(500-2kpc),754.747,386.0,True,kepler-263,False,True,2,1,0.0,medium(10-100d),47.332773,6.66,kepler-263 c,2.47,mini-neptune,292.4698022,0.242,2.24,0.793,-0.0314,0.785,4.576,5265.0,g-type(sun-like),15.435
0,45.6711623,kepler,2016.0,transit,far(500-2kpc),742.473,393.0,True,kepler-1101,False,False,1,1,0.0,medium(10-100d),81.3151059,6.66,kepler-1101 b,2.47,mini-neptune,294.5693544,0.3483,4.27,0.94,-0.04,0.91,4.5,5614.0,g-type(sun-like),15.156
0,-11.9229757,la silla observatory,2002.0,radial velocity,nearby(<100pc),41.5681,900.0,False,hd 168746,False,False,1,1,0.11,short(1-10d),6.404,85.8141,hd 168746 b,11.1,gas giant,275.4573269,0.07,8.0,1.07,-0.08,1.09,4.39,5570.0,g-type(sun-like),7.95
0,0.603596,k2,2015.0,transit,mid(100-500pc),289.827,779.0,False,k2-19,False,True,3,1,0.2,short(1-10d),7.9222,32.4,k2-19 b,7.0,gas giant,174.9602543,0.074,8.0,0.88,0.06,0.82,4.51,5322.0,g-type(sun-like),13.024
0,45.0182402,kepler,2016.0,transit,mid(100-500pc),109.308,298.0,True,kepler-560,False,False,1,2,0.17,medium(10-100d),18.47764449,3.61,kepler-560 b,1.72,super-earth,300.2066441,0.0899,4.07,0.34,-0.39,0.33,4.94,3556.0,m-type(red dwarf),15.66
0,40.520897,kepler,2014.0,transit,far(500-2kpc),891.092,734.0,False,kepler-150,False,True,5,1,0.0,medium(10-100d),12.56093,8.2,kepler-150 d,2.79,mini-neptune,288.2341025,0.104,1.74,0.956,0.12,0.939,4.466,5560.0,g-type(sun-like),15.161
0,44.5187225,kepler,2016.0,transit,far(500-2kpc),938.844,931.0,False,kepler-498,False,False,1,1,0.0,short(1-10d),9.61375356,9.43,kepler-498 b,3.03,mini-neptune,290.3581592,0.0897,3.89,0.98,-0.04,0.96,4.47,5744.0,g-type(sun-like),14.349
0,39.161614,kepler,2016.0,transit,far(500-2kpc),1484.46,1124.0,False,kepler-817,False,False,1,1,0.0,short(1-10d),3.990106229,60.2,kepler-817 b,9.03,gas giant,296.0818498,0.0493,3.55,1.03,0.02,1.03,4.42,5861.0,g-type(sun-like),15.967
0,46.7146161,kepler,2016.0,transit,far(500-2kpc),1571.46,495.0,False,kepler-937,False,True,2,1,0.0,medium(10-100d),67.668827,13.4,kepler-937 b,3.72,neptune-like,294.1688142,0.3214,3.24,1.15,0.08,1.22,4.32,6095.0,f-type,15.405
0,1.6906217,k2,2015.0,transit,mid(100-500pc),272.36,649.0,False,k2-10,False,False,1,1,0.31,medium(10-100d),19.30553,25.2,k2-10 b,3.773,neptune-like,172.1216476,0.137,,0.88,-0.07,0.956,4.47,5533.0,g-type(sun-like),12.429
0,49.418731,kepler,2016.0,transit,far(500-2kpc),723.875,978.0,False,kepler-571,False,False,1,1,0.0,short(1-10d),4.798599388,7.46,kepler-571 b,2.64,mini-neptune,286.5510448,0.0546,4.68,0.93,0.01,0.9,4.51,5527.0,g-type(sun-like),14.951
0,41.0380135,kepler,2016.0,transit,far(500-2kpc),544.45,493.0,False,kepler-1458,False,False,1,1,0.0,medium(10-100d),47.9872764,8.05,kepler-1458 b,2.76,mini-neptune,283.2115971,0.24869,4.17,0.96,0.02,0.94,4.48,5653.0,g-type(sun-like),14.434
0,16.5220648,k2,2021.0,transit,far(500-2kpc),557.993,949.0,False,k2-335,True,False,1,1,,medium(10-100d),12.283211,5.52,k2-335 b,2.21,mini-neptune,129.3896679,,,1.23,0.1,1.33,4.28,6222.0,f-type,12.556
0,38.7877563,kepler,2021.0,transit,far(500-2kpc),1030.81,786.0,False,kepler-1600,True,True,2,1,0.0,short(1-10d),7.298049927,4.43,kepler-1600 c,1.94206512,mini-neptune,291.3993802,0.06961,6.92,0.818,0.1,0.834,4.508,5119.0,k-type,16.076
0,46.8352242,kepler,2014.0,transit,mid(100-500pc),385.231,712.0,False,kepler-221,False,True,4,1,0.0,medium(10-100d),10.04156,3.61,kepler-221 d,2.73,mini-neptune,296.6547477,0.087,1.78,0.854,0.0616,0.821,4.543,5243.0,g-type(sun-like),13.97
0,39.7082044,kepler,2016.0,transit,far(500-2kpc),635.643,784.0,False,kepler-626,False,False,1,1,0.0,medium(10-100d),14.48585199,5.86,kepler-626 b,2.29,mini-neptune,288.6986828,0.10913,5.37,1.01,0.01,1.05,4.4,5813.0,g-type(sun-like),14.086
0,39.0960281,kepler,2016.0,transit,far(500-2kpc),803.052,286.0,True,kepler-1549,False,False,1,1,0.0,long(100-365d),214.886545,7.13,kepler-1549 b,2.57,mini-neptune,286.0524399,0.6687,4.79,0.88,0.02,0.84,4.54,5324.0,g-type(sun-like),15.353
0,-12.1874776,k2,2016.0,transit,mid(100-500pc),112.467,495.0,False,k2-62,False,True,2,1,,medium(10-100d),16.19697,4.62,k2-62 c,1.99,mini-neptune,334.3645089,0.1148,,0.67,-0.1,0.696,4.57,4455.0,k-type,12.391
0,45.1515263,kepler,2016.0,transit,far(500-2kpc),1217.73,1128.0,False,kepler-1149,False,False,1,1,0.0,short(1-10d),3.73089898,2.67,kepler-1149 b,1.44,super-earth,294.1891824,0.0473,3.98,1.02,0.02,1.01,4.43,5833.0,g-type(sun-like),15.146
0,41.6058799,kepler,2016.0,transit,far(500-2kpc),814.078,2017.0,False,kepler-1288,False,False,1,1,0.0,short(1-10d),2.76122421,1.46,kepler-1288 b,1.12,super-earth,285.7135,0.04135,2.88,1.2,0.14,1.29,4.29,6132.0,f-type,13.199
0,43.9802442,kepler,2013.0,transit,mid(100-500pc),396.379,968.0,False,kepler-128,False,True,2,1,0.0,medium(10-100d),15.0,3.79,kepler-128 b,1.421,super-earth,282.4922622,0.12545,4.07,1.184,-0.03,1.659,4.07,6072.0,f-type,11.693
0,43.260753,kepler,2016.0,transit,far(500-2kpc),805.936,1043.0,False,kepler-1245,False,True,2,1,0.0,short(1-10d),4.35409304,2.67,kepler-1245 b,1.44,super-earth,290.7443078,0.0484,4.57,0.86,-0.01,0.83,4.55,5306.0,g-type(sun-like),15.582
0,46.3923173,kepler,2016.0,transit,far(500-2kpc),1473.61,702.0,False,kepler-1068,False,False,1,1,0.0,medium(10-100d),16.92344113,12.8,kepler-1068 b,3.63,neptune-like,294.6481708,0.13038,4.17,1.01,0.03,1.01,4.43,5806.0,g-type(sun-like),16.096
0,47.0854984,kepler,2014.0,transit,far(500-2kpc),778.654,744.0,False,kepler-311,False,True,3,1,0.0,medium(10-100d),19.738286,2.63,kepler-311 c,1.43,super-earth,282.0612731,0.145,1.95,0.994,-0.03,1.188,4.308,5905.0,g-type(sun-like),13.902
0,40.520897,kepler,2014.0,transit,far(500-2kpc),891.092,544.0,False,kepler-150,False,True,5,1,0.0,medium(10-100d),30.826557,9.91,kepler-150 e,3.12,mini-neptune,288.2341025,0.189,1.74,0.956,0.12,0.939,4.466,5560.0,g-type(sun-like),15.161
